Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.05960000E+7	1.77078097E+2	
1.05970000E+7	1.76999411E+2	
1.05980000E+7	1.76949861E+2	
1.05990000E+7	1.77011482E+2	
1.06000000E+7	1.77038773E+2	
1.06010000E+7	1.76981745E+2	
1.06020000E+7	1.76800216E+2	
1.06030000E+7	1.77189833E+2	
1.06040000E+7	1.76725585E+2	
1.06050000E+7	1.77117905E+2	
1.06060000E+7	1.77114245E+2	
1.06070000E+7	1.76986975E+2	
1.06080000E+7	1.77181555E+2	
1.06090000E+7	1.77117400E+2	
1.06100000E+7	1.77197802E+2	
1.06110000E+7	1.77211558E+2	
1.06120000E+7	1.77251922E+2	
1.06130000E+7	1.76961717E+2	
1.06140000E+7	1.77387020E+2	
1.06150000E+7	1.77110450E+2	
1.06160000E+7	1.77122096E+2	
1.06170000E+7	1.77252582E+2	
1.06180000E+7	1.77222874E+2	
1.06190000E+7	1.77394001E+2	
1.06200000E+7	1.77134505E+2	
1.06210000E+7	1.77130946E+2	
1.06220000E+7	1.77304979E+2	
1.06230000E+7	1.77589848E+2	
1.06240000E+7	1.77396632E+2	
1.06250000E+7	1.77519664E+2	
1.06260000E+7	1.77505368E+2	
1.06270000E+7	1.77360190E+2	
1.06280000E+7	1.77336660E+2	
1.06290000E+7	1.77184255E+2	
1.06300000E+7	1.77323269E+2	
1.06310000E+7	1.77420467E+2	
1.06320000E+7	1.77441549E+2	
1.06330000E+7	1.77538656E+2	
1.06340000E+7	1.77433285E+2	
1.06350000E+7	1.77457865E+2	
1.06360000E+7	1.77529536E+2	
1.06370000E+7	1.77613768E+2	
1.06380000E+7	1.77438296E+2	
1.06390000E+7	1.77683401E+2	
1.06400000E+7	1.77775620E+2	
1.06410000E+7	1.77810448E+2	
1.06420000E+7	1.77823538E+2	
1.06430000E+7	1.77740163E+2	
1.06440000E+7	1.77696952E+2	
1.06450000E+7	1.77581502E+2	
1.06460000E+7	1.77694891E+2	
1.06470000E+7	1.77839651E+2	
1.06480000E+7	1.77835471E+2	
1.06490000E+7	1.77913642E+2	
1.06500000E+7	1.77796731E+2	
1.06510000E+7	1.77838413E+2	
1.06520000E+7	1.78042256E+2	
1.06530000E+7	1.77855053E+2	
1.06540000E+7	1.77919153E+2	
1.06550000E+7	1.77897938E+2	
1.06560000E+7	1.77880896E+2	
1.06570000E+7	1.77920117E+2	
1.06580000E+7	1.78053084E+2	
1.06590000E+7	1.77978643E+2	
1.06600000E+7	1.78001515E+2	
1.06610000E+7	1.78048929E+2	
1.06620000E+7	1.77939383E+2	
1.06630000E+7	1.77989583E+2	
1.06640000E+7	1.78023075E+2	
1.06650000E+7	1.77969896E+2	
1.06660000E+7	1.78041722E+2	
1.06670000E+7	1.78185111E+2	
1.06680000E+7	1.78052222E+2	
1.06690000E+7	1.78116423E+2	
1.06700000E+7	1.78262931E+2	
1.06710000E+7	1.78337353E+2	
1.06720000E+7	1.78230776E+2	
1.06730000E+7	1.77857214E+2	
1.06740000E+7	1.77927525E+2	
1.06750000E+7	1.78193566E+2	
1.06760000E+7	1.78309841E+2	
1.06770000E+7	1.78221922E+2	
1.06780000E+7	1.78338004E+2	
1.06790000E+7	1.78517287E+2	
1.06800000E+7	1.78411934E+2	
1.06810000E+7	1.78237602E+2	
1.06820000E+7	1.78337019E+2	
1.06830000E+7	1.78396543E+2	
1.06840000E+7	1.78494362E+2	
1.06850000E+7	1.78447353E+2	
1.06860000E+7	1.78486206E+2	
1.06870000E+7	1.78349327E+2	
1.06880000E+7	1.78663322E+2	
1.06890000E+7	1.78383058E+2	
1.06900000E+7	1.78297068E+2	
1.06910000E+7	1.78460118E+2	
1.06920000E+7	1.78521740E+2	
1.06930000E+7	1.78437165E+2	
1.06940000E+7	1.78474027E+2	
1.06950000E+7	1.78469163E+2	
1.06960000E+7	1.78545763E+2	
1.06970000E+7	1.78589728E+2	
1.06980000E+7	1.78689786E+2	
1.06990000E+7	1.78667273E+2	
1.07000000E+7	1.78640178E+2	
1.07010000E+7	1.78616892E+2	
1.07020000E+7	1.78925962E+2	
1.07030000E+7	1.78707606E+2	
1.07040000E+7	1.78892853E+2	
1.07050000E+7	1.78444035E+2	
1.07060000E+7	1.78633369E+2	
1.07070000E+7	1.78802592E+2	
1.07080000E+7	1.78690522E+2	
1.07090000E+7	1.78820359E+2	
1.07100000E+7	1.78792335E+2	
1.07110000E+7	1.78701040E+2	
1.07120000E+7	1.79148832E+2	
1.07130000E+7	1.78955082E+2	
1.07140000E+7	1.78863437E+2	
1.07150000E+7	1.78739934E+2	
1.07160000E+7	1.79141769E+2	
1.07170000E+7	1.78876367E+2	
1.07180000E+7	1.78907253E+2	
1.07190000E+7	1.79252243E+2	
1.07200000E+7	1.78923258E+2	
1.07210000E+7	1.78979505E+2	
1.07220000E+7	1.78888250E+2	
1.07230000E+7	1.78864818E+2	
1.07240000E+7	1.79142127E+2	
